locus_tag	ftype	gene	EC_number	product
GFLIGANH_00001	CDS	hypothetical protein
GFLIGANH_00002	CDS	hypothetical protein
GFLIGANH_00003	CDS	hypothetical protein
GFLIGANH_00004	CDS	hypothetical protein
GFLIGANH_00005	CDS	hypothetical protein
GFLIGANH_00006	CDS	hypothetical protein
GFLIGANH_00007	CDS	hypothetical protein
GFLIGANH_00008	CDS	hypothetical protein
GFLIGANH_00009	CDS	hypothetical protein
GFLIGANH_00010	CDS	rapA	3.6.4.-	RNA polymerase-associated protein RapA
GFLIGANH_00011	CDS	hypothetical protein
GFLIGANH_00012	CDS	hypothetical protein
GFLIGANH_00013	CDS	hypothetical protein
GFLIGANH_00014	CDS	hypothetical protein
GFLIGANH_00015	CDS	sppA	3.4.21.-	Putative signal peptide peptidase SppA
GFLIGANH_00016	CDS	hypothetical protein
GFLIGANH_00017	CDS	hypothetical protein
GFLIGANH_00018	CDS	hypothetical protein
GFLIGANH_00019	CDS	hypothetical protein
GFLIGANH_00020	CDS	hypothetical protein
GFLIGANH_00021	CDS	hypothetical protein
GFLIGANH_00022	CDS	hypothetical protein
GFLIGANH_00023	CDS	hypothetical protein
GFLIGANH_00024	CDS	hypothetical protein
GFLIGANH_00025	CDS	hypothetical protein
GFLIGANH_00026	CDS	hypothetical protein
GFLIGANH_00027	CDS	hypothetical protein
GFLIGANH_00028	CDS	hypothetical protein
GFLIGANH_00029	CDS	hypothetical protein
GFLIGANH_00030	CDS	hypothetical protein
GFLIGANH_00031	CDS	hypothetical protein
GFLIGANH_00032	CDS	hypothetical protein
GFLIGANH_00033	CDS	hypothetical protein
GFLIGANH_00034	CDS	hypothetical protein
GFLIGANH_00035	CDS	hypothetical protein
GFLIGANH_00036	CDS	hypothetical protein
GFLIGANH_00037	CDS	hypothetical protein
GFLIGANH_00038	CDS	hypothetical protein
GFLIGANH_00039	CDS	hypothetical protein
GFLIGANH_00040	CDS	hypothetical protein
GFLIGANH_00041	CDS	hypothetical protein
GFLIGANH_00042	CDS	hypothetical protein
GFLIGANH_00043	CDS	hypothetical protein
GFLIGANH_00044	CDS	hypothetical protein
GFLIGANH_00045	CDS	hypothetical protein
GFLIGANH_00046	CDS	hypothetical protein
GFLIGANH_00047	CDS	hypothetical protein
GFLIGANH_00048	CDS	hypothetical protein
GFLIGANH_00049	CDS	hypothetical protein
GFLIGANH_00050	CDS	hypothetical protein
GFLIGANH_00051	CDS	hypothetical protein
GFLIGANH_00052	CDS	hypothetical protein
GFLIGANH_00053	CDS	hypothetical protein
GFLIGANH_00054	CDS	hypothetical protein
GFLIGANH_00055	CDS	rdgC	Recombination-associated protein RdgC
GFLIGANH_00056	CDS	hypothetical protein
GFLIGANH_00057	CDS	hypothetical protein
GFLIGANH_00058	CDS	hypothetical protein
GFLIGANH_00059	CDS	hypothetical protein
GFLIGANH_00060	CDS	hypothetical protein
GFLIGANH_00061	CDS	hypothetical protein
GFLIGANH_00062	CDS	hypothetical protein
GFLIGANH_00063	CDS	hypothetical protein
GFLIGANH_00064	CDS	hypothetical protein
GFLIGANH_00065	CDS	hypothetical protein
GFLIGANH_00066	CDS	hypothetical protein
GFLIGANH_00067	CDS	hypothetical protein
GFLIGANH_00068	CDS	hypothetical protein
GFLIGANH_00069	CDS	hypothetical protein
GFLIGANH_00070	CDS	hypothetical protein
GFLIGANH_00071	CDS	hypothetical protein
GFLIGANH_00072	CDS	hypothetical protein
GFLIGANH_00073	CDS	hypothetical protein
GFLIGANH_00074	CDS	hypothetical protein
