locus_tag	ftype	gene	EC_number	product
MONPDEIE_00001	CDS	hypothetical protein
MONPDEIE_00002	CDS	hypothetical protein
MONPDEIE_00003	CDS	hypothetical protein
MONPDEIE_00004	CDS	hypothetical protein
MONPDEIE_00005	CDS	hypothetical protein
MONPDEIE_00006	CDS	hypothetical protein
MONPDEIE_00007	CDS	hypothetical protein
MONPDEIE_00008	CDS	hypothetical protein
MONPDEIE_00009	CDS	hypothetical protein
MONPDEIE_00010	CDS	hypothetical protein
MONPDEIE_00011	CDS	hypothetical protein
MONPDEIE_00012	CDS	hypothetical protein
MONPDEIE_00013	CDS	hypothetical protein
MONPDEIE_00014	CDS	hypothetical protein
MONPDEIE_00015	CDS	ssbA	Single-stranded DNA-binding protein A
MONPDEIE_00016	CDS	hypothetical protein
MONPDEIE_00017	CDS	hypothetical protein
MONPDEIE_00018	CDS	yocH	Cell wall-binding protein YocH
MONPDEIE_00019	CDS	hypothetical protein
MONPDEIE_00020	CDS	hypothetical protein
MONPDEIE_00021	CDS	hypothetical protein
MONPDEIE_00022	CDS	hypothetical protein
MONPDEIE_00023	CDS	hypothetical protein
MONPDEIE_00024	CDS	hypothetical protein
MONPDEIE_00025	CDS	spo0C	Chromosome-partitioning protein Spo0J
MONPDEIE_00026	CDS	hypothetical protein
MONPDEIE_00027	CDS	hypothetical protein
MONPDEIE_00028	CDS	hypothetical protein
MONPDEIE_00029	CDS	hypothetical protein
MONPDEIE_00030	CDS	hypothetical protein
MONPDEIE_00031	CDS	hypothetical protein
MONPDEIE_00032	CDS	hypothetical protein
MONPDEIE_00033	CDS	hypothetical protein
MONPDEIE_00034	CDS	hypothetical protein
MONPDEIE_00035	CDS	hypothetical protein
MONPDEIE_00036	CDS	hypothetical protein
MONPDEIE_00037	CDS	hypothetical protein
MONPDEIE_00038	CDS	hypothetical protein
MONPDEIE_00039	CDS	hypothetical protein
MONPDEIE_00040	CDS	hypothetical protein
MONPDEIE_00041	CDS	hypothetical protein
MONPDEIE_00042	CDS	hypothetical protein
MONPDEIE_00043	CDS	hypothetical protein
MONPDEIE_00044	CDS	hypothetical protein
MONPDEIE_00045	CDS	clpP	3.4.21.92	ATP-dependent Clp protease proteolytic subunit
MONPDEIE_00046	CDS	hypothetical protein
MONPDEIE_00047	CDS	hypothetical protein
MONPDEIE_00048	CDS	hypothetical protein
MONPDEIE_00049	CDS	hypothetical protein
MONPDEIE_00050	CDS	hypothetical protein
MONPDEIE_00051	CDS	hypothetical protein
MONPDEIE_00052	CDS	hypothetical protein
MONPDEIE_00053	CDS	gpFI	Putative prophage major tail sheath protein
MONPDEIE_00054	CDS	hypothetical protein
MONPDEIE_00055	CDS	hypothetical protein
MONPDEIE_00056	CDS	smc	Chromosome partition protein Smc
MONPDEIE_00057	CDS	hypothetical protein
MONPDEIE_00058	CDS	hypothetical protein
MONPDEIE_00059	CDS	hypothetical protein
MONPDEIE_00060	CDS	hypothetical protein
MONPDEIE_00061	CDS	hypothetical protein
MONPDEIE_00062	CDS	hypothetical protein
MONPDEIE_00063	CDS	hypothetical protein
MONPDEIE_00064	CDS	hypothetical protein
MONPDEIE_00065	CDS	hypothetical protein
MONPDEIE_00066	CDS	hypothetical protein
MONPDEIE_00067	CDS	hypothetical protein
MONPDEIE_00068	CDS	hypothetical protein
MONPDEIE_00069	CDS	hypothetical protein
MONPDEIE_00070	CDS	hypothetical protein
MONPDEIE_00071	CDS	hypothetical protein
MONPDEIE_00072	CDS	hypothetical protein
MONPDEIE_00073	CDS	hypothetical protein
MONPDEIE_00074	CDS	hypothetical protein
MONPDEIE_00075	CDS	3.4.17.14	Zinc D-Ala-D-Ala carboxypeptidase
MONPDEIE_00076	CDS	hypothetical protein
MONPDEIE_00077	CDS	hypothetical protein
MONPDEIE_00078	CDS	hypothetical protein
MONPDEIE_00079	CDS	hypothetical protein
MONPDEIE_00080	CDS	hypothetical protein
MONPDEIE_00081	CDS	hypothetical protein
MONPDEIE_00082	CDS	hypothetical protein
MONPDEIE_00083	CDS	hypothetical protein
MONPDEIE_00084	CDS	hypothetical protein
MONPDEIE_00085	CDS	hypothetical protein
